t_min,P_amb_atm,FIO2,FIN2,I_ex_L_min_wb,pt_N2_atm,pt_O2_atm,r_hat_dimensionless,Pb_N2_atm,Pb_O2_atm,x_hat_N2,x_hat_O2,n_b,N_b_max_cumulative,P_crush_atm,beta_f_hat_dimensionless,r_hat_min_nucleation_dimensionless,h_t_hazard_per_min,P_DCS,P_survival
10.899999999999979,0.2353170632313429,0.21,0.79,0.0,0.598020591854647,0,0.2564596442920876,0.137353991012677,0,0.0,0.0,0.24982261634387914,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028597016454147e-10,1.0060159372216049e-09,0.9999999989939841
10.999999999999979,0.2353170632313429,0.21,0.79,0.0,0.5958948149221317,0,0.25645964429208296,0.13735399101267742,0,0.0,0.0,0.24982260812788695,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028595514354593e-10,1.0270445605087275e-09,0.9999999989729554
11.099999999999978,0.2353170632313429,0.21,0.79,0.0,0.5937788409591703,0,0.2564596442920858,0.13735399101267717,0,0.0,0.0,0.24982259991189504,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028594012257034e-10,1.0480731837958501e-09,0.9999999989519268
11.199999999999978,0.2353170632313429,0.21,0.79,0.0,0.5916726247596029,0,0.25645964429208407,0.13735399101267734,0,0.0,0.0,0.2498225916959034,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028592510158452e-10,1.0691018070829728e-09,0.9999999989308982
11.299999999999978,0.2353170632313429,0.21,0.79,0.0,0.5895761213257366,0,0.2564596442920851,0.13735399101267723,0,0.0,0.0,0.249822583479912,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028591008060656e-10,1.0901304303700954e-09,0.9999999989098696
11.399999999999977,0.2353170632313429,0.21,0.79,0.0,0.5874892858673842,0,0.25645964429208445,0.13735399101267728,0,0.0,0.0,0.2498225752639209,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028589505962547e-10,1.111159053657218e-09,0.999999998888841
11.499999999999977,0.2353170632313429,0.21,0.79,0.0,0.5854120738009079,0,0.25645964429208484,0.13735399101267726,0,0.0,0.0,0.24982256704793007,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028588003864805e-10,1.1321876769443406e-09,0.9999999988678123
11.599999999999977,0.2353170632313429,0.21,0.79,0.0,0.5833444407482655,0,0.2564596442920846,0.13735399101267728,0,0.0,0.0,0.24982255883193952,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028586501767025e-10,1.1532163002314633e-09,0.9999999988467837
11.699999999999976,0.2353170632313429,0.21,0.79,0.0,0.5812863425360637,0,0.25645964429208473,0.13735399101267726,0,0.0,0.0,0.2498225506159492,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.102858499966942e-10,1.1742449235185859e-09,0.9999999988257551
11.799999999999976,0.2353170632313429,0.21,0.79,0.0,0.5792377351946134,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.24982254239995919,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028583497571895e-10,1.1952735468057085e-09,0.9999999988047265
11.899999999999975,0.2353170632313429,0.21,0.79,0.0,0.5771985749569909,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.24982253418396944,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028581995474487e-10,1.2163021700928311e-09,0.9999999987836978
12.0,0.2353170632313429,0.21,0.79,0.0,0.5751688182581025,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.24982252596797994,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028580493377182e-10,1.2373307933799538e-09,0.9999999987626692
12.1,0.2353170632313429,0.21,0.79,0.0,0.5731484217337539,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.2498225177519907,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028578991279985e-10,1.2583594166670764e-09,0.9999999987416406
12.2,0.2353170632313429,0.21,0.79,0.0,0.5711373422197238,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.24982250953600177,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.10285774891829e-10,1.279388039954199e-09,0.999999998720612
12.299999999999999,0.2353170632313429,0.21,0.79,0.0,0.5691355367508416,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.2498225013200131,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028575987085923e-10,1.3004166632413217e-09,0.9999999986995833
12.399999999999999,0.2353170632313429,0.21,0.79,0.0,0.5671429625600696,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.24982249310402468,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028574484989045e-10,1.3214452865284443e-09,0.9999999986785547
12.499999999999998,0.2353170632313429,0.21,0.79,0.0,0.5651595770775892,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.24982248488803654,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.102857298289228e-10,1.342473909815567e-09,0.9999999986575261
12.599999999999998,0.2353170632313429,0.21,0.79,0.0,0.5631853379298918,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.24982247667204868,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028571480795618e-10,1.3635025331026895e-09,0.9999999986364975
12.699999999999998,0.2353170632313429,0.21,0.79,0.0,0.5612202029388728,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.2498224684560611,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.102856997869907e-10,1.3845311563898122e-09,0.9999999986154688
12.799999999999997,0.2353170632313429,0.21,0.79,0.0,0.5592641301209311,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.24982246024007376,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028568476602624e-10,1.4055597796769348e-09,0.9999999985944402
12.899999999999997,0.2353170632313429,0.21,0.79,0.0,0.5573170776860721,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.2498224520240867,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.102856697450629e-10,1.426588291941755e-09,0.9999999985734117
12.999999999999996,0.2353170632313429,0.21,0.79,0.0,0.5553790040370146,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.24982244380809993,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.102856547241006e-10,1.4476168042065751e-09,0.9999999985523832
13.099999999999996,0.2353170632313429,0.21,0.79,0.0,0.5534498677683022,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.24982243559211342,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.102856397031394e-10,1.4686453164713953e-09,0.9999999985313547
13.199999999999996,0.2353170632313429,0.21,0.79,0.0,0.551529627665419,0,0.2564596442920847,0.13735399101267726,0,0.0,0.0,0.24982242737612717,0.24982301350755295,0.005006960362591184,0.005113355084573064,0.07156735664874189,2.1028562468217925e-10,1.4896738287362155e-09,0.9999999985103262
