preox_duration,ascent_rate_ftmin,cruise_alt_ft,cruise_duration,total_flight_time,risk_index,risk_probability
30,1000,32000,5,67.0,124.19354472723334,1.0
30,1000,33000,5,68.0,147.15762673445874,1.0
30,1000,34000,5,69.0,170.94357330804633,1.0
30,1000,35000,5,70.0,195.44279851572273,1.0
30,1000,36000,5,71.0,220.55338259812154,1.0
30,1000,37000,5,72.0,246.17986940786523,1.0
30,1000,38000,5,73.0,272.23304843199105,1.0
30,1000,39000,5,74.0,298.62972511367786,1.0
30,1000,40000,5,75.0,325.29248275902404,1.0
30,1000,15000,10,55.0,0.0,0.0
30,1000,16000,10,56.0,0.0,0.0
30,1000,17000,10,57.0,0.0,0.0
30,1000,18000,10,58.0,0.0,0.0
30,1000,19000,10,59.0,0.0,0.0
30,1000,20000,10,60.0,0.0,0.0
30,1000,21000,10,61.0,0.0,0.0
30,1000,22000,10,62.0,0.0,0.0
30,1000,23000,10,63.0,0.0,0.0
30,1000,24000,10,64.0,0.0,0.0
30,1000,25000,10,65.0,0.0,0.0
30,1000,26000,10,66.0,18.909022790286024,0.9999999938635705
30,1000,27000,10,67.0,44.297802781256195,1.0
30,1000,28000,10,68.0,70.52780789271945,1.0
30,1000,29000,10,69.0,97.48310612416337,1.0
30,1000,30000,10,70.0,125.05500781014275,1.0
30,1000,31000,10,71.0,153.14184069659194,1.0
30,1000,32000,10,72.0,181.6487081858929,1.0
30,1000,33000,10,73.0,210.4872348911262,1.0
30,1000,34000,10,74.0,239.57530315547595,1.0
30,1000,35000,10,75.0,268.8367837430677,1.0
30,1000,36000,10,76.0,299.6142959981051,1.0
30,1000,37000,10,77.0,329.0848500274285,1.0
30,1000,38000,10,78.0,358.52548481536826,1.0
30,1000,39000,10,79.0,387.881833661115,1.0
30,1000,40000,10,80.0,417.1041457012823,1.0
30,1000,15000,15,60.0,0.0,0.0
30,1000,16000,15,61.0,0.0,0.0
30,1000,17000,15,62.0,0.0,0.0
30,1000,18000,15,63.0,0.0,0.0
30,1000,19000,15,64.0,0.0,0.0
30,1000,20000,15,65.0,0.0,0.0
30,1000,21000,15,66.0,0.0,0.0
30,1000,22000,15,67.0,0.0,0.0
30,1000,23000,15,68.0,0.0,0.0
30,1000,24000,15,69.0,0.0,0.0
30,1000,25000,15,70.0,0.0,0.0
