scenario_id,scenario,error
47,"{'altitude': 22081.593911696862, 'time_at_altitude': 312.969233913826, 'prebreathing_time': 174.30424395369724, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
48,"{'altitude': 24642.721205760863, 'time_at_altitude': 40.19979907863689, 'prebreathing_time': 115.92805827717596, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
49,"{'altitude': 22697.039355858164, 'time_at_altitude': 26.464739216561323, 'prebreathing_time': 55.83144060533118, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
50,"{'altitude': 22184.647460831646, 'time_at_altitude': 278.53645081593135, 'prebreathing_time': 175.28584238812365, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
51,"{'altitude': 19416.379665388624, 'time_at_altitude': 175.4960448209896, 'prebreathing_time': 88.2521320660017, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
52,"{'altitude': 19195.131145182364, 'time_at_altitude': 311.995218736147, 'prebreathing_time': 125.2852512889607, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
53,"{'altitude': 18267.126867371735, 'time_at_altitude': 99.08623337422534, 'prebreathing_time': 105.47895478991528, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
54,"{'altitude': 19471.22464748486, 'time_at_altitude': 149.19854372993734, 'prebreathing_time': 212.84198799100483, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
55,"{'altitude': 21652.642877649105, 'time_at_altitude': 91.31180291086363, 'prebreathing_time': 103.80150731796809, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
56,"{'altitude': 19485.43644898674, 'time_at_altitude': 146.85009578700058, 'prebreathing_time': 24.128742766484645, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
