altitude,prebreathing_time,exercise_level,time_at_altitude,risk_of_decompression_sickness
18500,0,Heavy,10,0.00
18500,0,Heavy,20,0.00
18500,0,Heavy,30,1.00
18500,0,Heavy,40,1.00
18500,0,Heavy,50,2.00
18500,0,Heavy,60,2.00
18500,0,Heavy,70,2.00
18500,0,Heavy,80,3.00
18500,0,Heavy,90,3.00
18500,0,Heavy,100,4.00
18500,0,Heavy,110,5.00
18500,0,Heavy,120,5.00
18500,0,Heavy,130,6.00
18500,0,Heavy,140,6.00
18500,0,Heavy,150,7.00
18500,0,Heavy,160,7.00
18500,0,Heavy,170,8.00
18500,0,Heavy,180,9.00
18500,0,Heavy,190,9.00
18500,0,Heavy,200,10.00
18500,0,Heavy,210,11.00
18500,0,Heavy,220,11.00
18500,0,Heavy,230,12.00
18500,0,Heavy,240,13.00
18500,15,Rest,10,0.00
18500,15,Rest,20,0.00
18500,15,Rest,30,0.00
18500,15,Rest,40,0.00
18500,15,Rest,50,0.00
18500,15,Rest,60,0.00
18500,15,Rest,70,0.00
18500,15,Rest,80,0.00
18500,15,Rest,90,0.00
18500,15,Rest,100,0.00
18500,15,Rest,110,0.00
18500,15,Rest,120,0.00
18500,15,Rest,130,0.00
18500,15,Rest,140,0.00
18500,15,Rest,150,0.00
18500,15,Rest,160,0.00
18500,15,Rest,170,0.00
18500,15,Rest,180,0.00
18500,15,Rest,190,0.00
18500,15,Rest,200,0.00
18500,15,Rest,210,0.00
18500,15,Rest,220,0.00
18500,15,Rest,230,0.00
18500,15,Rest,240,0.00
18500,15,Mild,10,0.00
18500,15,Mild,20,0.00
18500,15,Mild,30,0.00
18500,15,Mild,40,0.00
18500,15,Mild,50,0.00
18500,15,Mild,60,0.00
18500,15,Mild,70,0.00
18500,15,Mild,80,0.00
18500,15,Mild,90,0.00
18500,15,Mild,100,1.00
18500,15,Mild,110,1.00
18500,15,Mild,120,1.00
18500,15,Mild,130,1.00
18500,15,Mild,140,1.00
18500,15,Mild,150,1.00
18500,15,Mild,160,1.00
18500,15,Mild,170,1.00
18500,15,Mild,180,1.00
18500,15,Mild,190,1.00
18500,15,Mild,200,1.00
18500,15,Mild,210,2.00
18500,15,Mild,220,2.00
18500,15,Mild,230,2.00
18500,15,Mild,240,2.00
18500,15,Heavy,10,0.00
18500,15,Heavy,20,0.00
18500,15,Heavy,30,0.00
18500,15,Heavy,40,1.00
18500,15,Heavy,50,1.00
18500,15,Heavy,60,1.00
18500,15,Heavy,70,1.00
18500,15,Heavy,80,1.00
18500,15,Heavy,90,2.00
18500,15,Heavy,100,2.00
18500,15,Heavy,110,2.00
18500,15,Heavy,120,2.00
18500,15,Heavy,130,3.00
18500,15,Heavy,140,3.00
18500,15,Heavy,150,3.00
18500,15,Heavy,160,4.00
18500,15,Heavy,170,4.00
18500,15,Heavy,180,4.00
18500,15,Heavy,190,5.00
18500,15,Heavy,200,5.00
18500,15,Heavy,210,5.00
18500,15,Heavy,220,6.00
18500,15,Heavy,230,6.00
18500,15,Heavy,240,6.00
18500,30,Rest,10,0.00
18500,30,Rest,20,0.00
18500,30,Rest,30,0.00
18500,30,Rest,40,0.00
18500,30,Rest,50,0.00
18500,30,Rest,60,0.00
18500,30,Rest,70,0.00
18500,30,Rest,80,0.00
18500,30,Rest,90,0.00
18500,30,Rest,100,0.00
18500,30,Rest,110,0.00
18500,30,Rest,120,0.00
18500,30,Rest,130,0.00
18500,30,Rest,140,0.00
18500,30,Rest,150,0.00
18500,30,Rest,160,0.00
18500,30,Rest,170,0.00
18500,30,Rest,180,0.00
18500,30,Rest,190,0.00
18500,30,Rest,200,0.00
18500,30,Rest,210,0.00
18500,30,Rest,220,0.00
18500,30,Rest,230,0.00
18500,30,Rest,240,0.00
18500,30,Mild,10,0.00
18500,30,Mild,20,0.00
18500,30,Mild,30,0.00
18500,30,Mild,40,0.00
18500,30,Mild,50,0.00
18500,30,Mild,60,0.00
18500,30,Mild,70,0.00
18500,30,Mild,80,0.00
18500,30,Mild,90,0.00
18500,30,Mild,100,0.00
18500,30,Mild,110,0.00
18500,30,Mild,120,0.00
18500,30,Mild,130,0.00
18500,30,Mild,140,0.00
18500,30,Mild,150,0.00
18500,30,Mild,160,0.00
18500,30,Mild,170,1.00
18500,30,Mild,180,1.00
18500,30,Mild,190,1.00
18500,30,Mild,200,1.00
18500,30,Mild,210,1.00
18500,30,Mild,220,1.00
18500,30,Mild,230,1.00
18500,30,Mild,240,1.00
18500,30,Heavy,10,0.00
18500,30,Heavy,20,0.00
18500,30,Heavy,30,0.00
18500,30,Heavy,40,0.00
18500,30,Heavy,50,0.00
18500,30,Heavy,60,0.00
18500,30,Heavy,70,1.00
